x_R,L2_diff_tau_xx,max_diff_tau_xx,L2_diff_ux,max_diff_ux
-3,0.0505675,0.16271,0.0297642,0.0548329
-2.95686,0.0524379,0.179339,0.0297336,0.0554659
-2.91373,0.0544024,0.199091,0.0298067,0.0557672
-2.87059,0.0553834,0.200469,0.0298041,0.0562318
-2.82745,0.0570823,0.197984,0.0297242,0.0571637
-2.78431,0.0599299,0.215141,0.0297175,0.0583185
-2.74118,0.0639511,0.253766,0.0297874,0.0595519
-2.69804,0.0678298,0.286863,0.0297543,0.0603687
-2.6549,0.0693367,0.2544,0.0356929,0.0673221
-2.61176,0.077584,0.317262,0.0331458,0.0641102
-2.56863,0.0887456,0.424331,0.0315312,0.0648895
-2.52549,0.100425,0.524431,0.0307354,0.0642258
-2.48235,0.108645,0.553382,0.030531,0.065681
-2.43922,0.11332,0.570706,0.0305984,0.0675873
-2.39608,0.119409,0.693997,0.0308506,0.072902
-2.35294,0.133574,0.870229,0.0311,0.0789168
-2.3098,0.137287,0.813053,0.031228,0.0834179
-2.26667,0.131578,0.607933,0.0315216,0.0843012
-2.22353,0.167034,0.875989,0.0318017,0.0801691
-2.18039,0.280234,2.07521,0.0323991,0.080246
-2.13725,0.417654,3.49725,0.0331961,0.0843059
-2.09412,0.462601,4.07816,0.0337452,0.0830486
-2.05098,0.429402,3.83467,0.0342563,0.0878172
-2.00784,0.398618,3.29378,0.0347729,0.0965782
-1.96471,0.391008,2.82504,0.035481,0.0996843
-1.92157,0.422882,3.03523,0.0361544,0.0972181
-1.87843,0.412973,2.99467,0.0370404,0.105703
-1.83529,0.42156,3.11629,0.0381406,0.114982
-1.79216,0.403503,2.85993,0.0393474,0.122884
-1.74902,0.408172,2.89539,0.0407161,0.132829
-1.70588,0.383715,2.77573,0.0426936,0.143206
-1.66275,17.0563,169.703,0.268573,2.36373
-1.61961,16.9287,168.723,0.265215,2.34737
-1.57647,17.5375,172.846,0.261997,2.32304
-1.53333,17.9211,176.078,0.257972,2.2871
-1.4902,18.296,178.895,0.253761,2.2432
-1.44706,18.5891,180.797,0.248545,2.19149
-1.40392,18.7243,181.538,0.244273,2.1402
-1.36078,18.7845,181.459,0.240757,2.09085
-1.31765,18.9087,181.963,0.231827,1.984
-1.27451,18.4099,176.567,0.22492,1.90105
-1.23137,17.5606,167.892,0.221113,1.86124
-1.18824,16.7994,160.232,0.220289,1.8592
-1.1451,16.2951,154.91,0.222595,1.88566
-1.10196,16.5802,157.328,0.223849,1.90573
-1.05882,17.6918,167.025,0.222477,1.89226
-1.01569,21.2146,200.266,0.230071,1.95539
-0.972549,24.4392,213.48,0.240681,1.89733
-0.929412,4.81635,29.4997,0.201906,1.33498
-0.886275,10.2567,86.9873,0.171544,0.968688
-0.843137,22.1142,175.678,0.152484,0.716665
-0.8,28.0118,214.372,0.169983,0.74851
-0.756863,33.7455,246.995,0.19406,0.821724
-0.713725,22.0064,146.906,0.90338,6.15313
-0.670588,24.4047,154.771,0.914978,6.12027
-0.627451,22.3902,137.053,0.944037,6.16089
-0.584314,18.8747,108.127,0.965859,6.18825
-0.541176,14.9545,74.6917,0.979424,6.15958
-0.498039,11.9864,43.7038,0.98371,6.07404
-0.454902,13.247,58.5222,0.961576,5.8429
-0.411765,18.7473,95.4639,0.929034,5.52642
-0.368627,30.5729,181.988,0.855103,4.93715
-0.32549,38.5086,229.525,0.83163,4.56412
-0.282353,47.7197,278.426,0.787242,4.16793
-0.239216,54.5355,327.422,0.736338,3.7392
-0.196078,62.4565,373.3,0.681285,3.28645
-0.152941,74.3098,440.862,0.594037,2.49392
-0.109804,79.2218,473.625,0.546255,2.01404
-0.0666667,83.4592,498.376,0.50326,1.53237
-0.0235294,86.3802,514.783,0.468346,1.43633
0.0196078,87.3876,521.3,0.43354,1.39361
0.0627451,86.3317,513.999,0.424202,1.39162
0.105882,84.6931,506.166,0.4225,1.38901
0.14902,83.8949,503.132,0.421587,1.3968
0.192157,83.5381,501.669,0.421744,1.40766
0.235294,82.2421,499.644,0.42261,1.4226
0.278431,34.8647,189.01,0.393409,1.73546
0.321569,35.4348,191.886,0.390676,1.74422
0.364706,33.6679,183.929,0.388322,1.76043
0.407843,31.3356,173.083,0.382591,1.777
0.45098,28.7801,161.328,0.376136,1.79074
0.494118,26.6716,149.555,0.373715,1.80214
0.537255,21.0745,112.8,0.372097,1.81441
0.580392,16.3089,77.367,0.363756,1.81235
0.623529,11.6039,61.3755,0.362292,1.86635
0.666667,9.70698,57.9605,0.369102,2.01223
0.709804,4.567,19.587,0.349863,1.86825
0.752941,8.34325,41.2198,0.250542,1.29635
0.796078,16.277,106.379,0.309388,1.33273
0.839216,17.2968,125.304,0.336315,1.65017
0.882353,15.426,119.732,0.32674,1.5495
0.92549,5.48229,33.9446,0.281952,1.43239
0.968627,24.6528,199.18,0.439413,2.84786
1.01176,27.9365,236.658,0.464879,3.28757
1.0549,27.9409,258.555,0.447123,3.49645
1.09804,29.3336,273.104,0.454126,3.58692
1.14118,30.2924,283.297,0.458883,3.63208
1.18431,30.9586,290.41,0.462334,3.66782
1.22745,30.9776,291.892,0.469482,3.72989
1.27059,1.74004,9.75966,0.0796821,0.170117
1.31373,2.14354,15.2844,0.0766173,0.159811
1.35686,2.08431,14.316,0.0734758,0.15485
1.4,1.97403,12.2104,0.0703785,0.148084
1.44314,2.11524,14.2355,0.0672903,0.141433
1.48627,2.20192,15.3057,0.0641902,0.136608
1.52941,2.16341,14.5212,0.06134,0.131153
1.57255,2.15504,14.1685,0.0585177,0.126134
1.61569,2.44383,18.3865,0.0557586,0.120338
1.65882,2.66726,21.1611,0.0534937,0.112828
1.70196,2.48126,18.9075,0.051296,0.105093
1.7451,2.20963,14.8374,0.0494313,0.104466
1.78824,2.60413,20.5234,0.0477297,0.101624
1.83137,2.4572,18.8098,0.0462157,0.0990415
1.87451,2.68775,21.33,0.0447516,0.0960862
1.91765,2.84741,23.0902,0.0436262,0.0957623
1.96078,2.41185,18.1161,0.0427091,0.0944541
2.00392,2.88619,23.9193,0.0418136,0.0891498
2.04706,2.33564,17.7015,0.0410216,0.0874912
2.0902,2.7168,22.4209,0.0403411,0.0858322
2.13333,2.44475,19.4838,0.0398831,0.0848616
2.17647,2.49335,20.1615,0.0391111,0.0848761
2.21961,2.63516,21.7775,0.0382412,0.0847895
2.26275,2.00848,14.507,0.0379042,0.0806161
2.30588,2.41524,19.8434,0.0379013,0.0856679
2.34902,2.10778,16.4211,0.0380369,0.0899691
2.39216,2.16055,17.3148,0.0383585,0.092382
2.43529,2.16926,17.6366,0.0386198,0.09618
2.47843,1.79923,13.1451,0.0389465,0.0963251
2.52157,2.01232,16.1731,0.0395514,0.0952539
2.56471,1.99504,16.1068,0.0399987,0.0923631
2.60784,1.71836,12.7705,0.0403546,0.0892508
2.65098,1.8318,14.5749,0.0407906,0.0868001
2.69412,1.80451,14.5168,0.0409205,0.0845847
2.73725,1.64076,12.7569,0.0408272,0.0835919
2.78039,1.60961,12.5682,0.040988,0.082493
2.82353,1.64442,13.1374,0.0412462,0.0823771
2.86667,1.592,12.6262,0.0411405,0.0825943
2.9098,1.45195,11.0099,0.0409122,0.0826063
2.95294,1.48136,11.6252,0.0408771,0.0816858
2.99608,1.48177,11.8171,0.0409417,0.0806272
3.03922,1.4394,11.4623,0.0408578,0.0796591
3.08235,1.33312,10.2946,0.040592,0.0786226
3.12549,1.32126,10.3404,0.0401944,0.0780519
3.16863,1.32232,10.5492,0.0397059,0.0772493
3.21176,1.28329,10.2642,0.0392002,0.0765029
3.2549,1.25142,9.89029,0.0398954,0.0756099
3.29804,1.13692,8.60915,0.0396409,0.0747989
3.34118,1.18786,9.38018,0.0393905,0.0744289
3.38431,1.18093,9.42283,0.0390797,0.0740291
3.42745,1.14753,9.15243,0.0387268,0.0737207
3.47059,1.08607,8.5584,0.038374,0.0727928
3.51373,1.00894,7.73189,0.0380932,0.0717429
3.55686,1.04813,8.33247,0.0378595,0.0710091
3.6,1.03645,8.29853,0.0376117,0.0706739
3.64314,1.00766,8.06347,0.0373338,0.070415
3.68627,0.958362,7.59405,0.0370307,0.069975
3.72941,0.877661,6.71327,0.0367276,0.0690529
3.77255,0.916211,7.29144,0.0364515,0.0680633
3.81569,0.908215,7.28926,0.0361561,0.0676218
3.85882,0.886849,7.13002,0.0358431,0.0675149
3.90196,0.853707,6.83256,0.0355233,0.0670786
3.9451,0.781329,6.06775,0.0352041,0.066632
3.98824,0.789968,6.25376,0.0349372,0.0657403
4.03137,0.786389,6.29219,0.0346745,0.0650258
4.07451,0.763063,6.1074,0.0344022,0.0648056
4.11765,0.737184,5.88377,0.0341161,0.0648419
4.16078,0.70987,5.64734,0.0338416,0.0643445
4.20392,0.65886,5.10156,0.0338073,0.0639371
4.24706,0.680441,5.41787,0.0336247,0.0630497
4.2902,0.680194,5.47282,0.0334314,0.0626019
4.33333,0.665542,5.37144,0.0332238,0.0625172
4.37647,0.645937,5.20902,0.0329924,0.0623472
4.41961,0.619654,4.97334,0.0327596,0.0622077
4.46275,0.566645,4.42294,0.0325573,0.0616044
4.50588,0.57628,4.58594,0.032418,0.0611359
4.54902,0.577831,4.65104,0.0322713,0.0606535
4.59216,0.567491,4.58215,0.0321295,0.0603218
4.63529,0.552636,4.46397,0.0319872,0.0603526
4.67843,0.533708,4.3004,0.0318266,0.0599748
4.72157,0.504913,4.02947,0.0316591,0.0596591
4.76471,0.471109,3.67928,0.0315308,0.0594506
4.80784,0.487007,3.91067,0.0314188,0.0591945
4.85098,0.481435,3.88561,0.0312995,0.0588681
4.89412,0.471007,3.81085,0.0311871,0.0585182
4.93725,0.458792,3.70975,0.0310774,0.0582002
4.98039,0.443286,3.5748,0.0309559,0.0582988
5.02353,0.417563,3.32937,0.0308272,0.0577989
5.06667,0.394858,3.10453,0.0307233,0.0577319
5.1098,0.401189,3.21531,0.0306315,0.057598
5.15294,0.390434,3.12755,0.0305275,0.0573985
5.19608,0.379277,2.99842,0.0304806,0.0571358
5.23922,0.371044,2.94862,0.0304058,0.0568402
5.28235,0.363576,2.88927,0.0303272,0.0565544
5.32549,0.352043,2.79372,0.0302467,0.056318
5.36863,0.321374,2.51049,0.0301692,0.0562662
5.41176,0.333599,2.64371,0.0301291,0.0560493
5.4549,0.332464,2.65031,0.0300768,0.0560099
5.49804,0.325094,2.60016,0.0300167,0.0558817
5.54118,0.317742,2.53225,0.0299548,0.0557037
5.58431,0.306481,2.45287,0.0298984,0.0554795
5.62745,0.296719,2.36213,0.0298376,0.0552346
5.67059,0.282882,2.23866,0.0297757,0.0550011
5.71373,0.259433,2.02006,0.0297213,0.054808
5.75686,0.269732,2.12658,0.0296926,0.0546724
5.8,0.266573,2.11094,0.0296643,0.0545875
5.84314,0.260734,2.0711,0.0296267,0.0545616
5.88627,0.25513,2.02269,0.0295887,0.0544732
5.92941,0.246895,1.9666,0.0295531,0.0543431
5.97255,0.239817,1.90132,0.0295142,0.0541732
6.01569,0.230466,1.81744,0.0294739,0.053979
6.05882,0.211693,1.65045,0.0294338,0.053783
6.10196,0.212981,1.66092,0.0294081,0.0536083
6.1451,0.209984,1.62875,0.0293882,0.0534948
6.18824,0.167023,1.03007,0.0293721,0.0534102
6.23137,0.165757,1.06955,0.0293509,0.0533648
6.27451,0.168268,1.17017,0.0293304,0.0533148
6.31765,0.159108,1.05236,0.0293112,0.0532415
6.36078,0.151423,0.949804,0.0292872,0.0531367
6.40392,0.14648,0.912877,0.0292619,0.0530027
6.44706,0.158613,1.18547,0.0292364,0.0528509
6.4902,0.139807,0.877572,0.0292151,0.0526973
6.53333,0.134058,0.781827,0.0292003,0.0525584
6.57647,0.131425,0.784464,0.0291923,0.0524475
6.61961,0.130138,0.811183,0.029184,0.0523714
6.66275,0.137073,0.973381,0.0291737,0.0523253
6.70588,0.126296,0.823356,0.029164,0.0523192
6.74902,0.12032,0.741652,0.0291537,0.0522772
6.79216,0.115544,0.686065,0.0291418,0.0522094
6.83529,0.115925,0.758667,0.0291289,0.0521183
6.87843,0.114607,0.762969,0.0291094,0.052009
6.92157,0.106306,0.598608,0.0290953,0.0518909
6.96471,0.103909,0.578264,0.0290858,0.0517755
7.00784,0.102148,0.588999,0.0290845,0.0516739
7.05098,0.101148,0.60869,0.029084,0.0515949
7.09412,0.102046,0.664836,0.0290821,0.0515419
