x_R,L2_diff_tau_xx,max_diff_tau_xx,L2_diff_ux,max_diff_ux
-3,0.0510864,0.170685,0.0297165,0.0549523
-2.95686,0.0530553,0.188407,0.0296962,0.0556001
-2.91373,0.0550667,0.209338,0.0297591,0.0559171
-2.87059,0.055976,0.21198,0.0297731,0.0563985
-2.82745,0.0576191,0.210372,0.0297208,0.0573481
-2.78431,0.0604525,0.228054,0.0297019,0.0585214
-2.74118,0.064469,0.269645,0.0297442,0.0597742
-2.69804,0.0683582,0.304378,0.0297459,0.0606111
-2.6549,0.069705,0.273648,0.0348312,0.064348
-2.61176,0.07875,0.338323,0.0324813,0.0643947
-2.56863,0.0905517,0.447279,0.031114,0.0651956
-2.52549,0.102755,0.549341,0.0306143,0.0645535
-2.48235,0.111323,0.58031,0.0306805,0.0652921
-2.43922,0.115994,0.599691,0.030883,0.0693034
-2.39608,0.121693,0.725061,0.0310702,0.0740628
-2.35294,0.135122,0.903371,0.0313956,0.0793273
-2.3098,0.138725,0.848242,0.0317179,0.0838465
-2.26667,0.133992,0.645109,0.03202,0.0847461
-2.22353,0.171547,0.915032,0.0325289,0.0806275
-2.18039,0.285601,2.11597,0.0333623,0.0781403
-2.13725,0.422847,3.53953,0.0343103,0.082738
-2.09412,0.467114,4.12168,0.0351858,0.0825149
-2.05098,0.432532,3.87905,0.0358272,0.0882942
-2.00784,0.399638,3.33863,0.0367763,0.0970473
-1.96471,0.390592,2.86984,0.0376483,0.100139
-1.92157,0.421749,2.99,0.0386841,0.0986568
-1.87843,0.412133,2.95097,0.0397347,0.10663
-1.83529,0.420878,3.07496,0.0411908,0.115343
-1.79216,0.403312,2.82213,0.0424257,0.12351
-1.74902,0.408216,2.86232,0.0439889,0.134098
-1.70588,0.38381,2.74867,0.0452201,0.144345
-1.66275,17.0549,169.684,0.268654,2.36363
-1.61961,16.9279,168.713,0.265537,2.34739
-1.57647,17.5372,172.846,0.262494,2.32319
-1.53333,17.9214,176.091,0.258659,2.2874
-1.4902,18.2971,178.923,0.254643,2.24367
-1.44706,18.5908,180.842,0.249629,2.19214
-1.40392,18.7269,181.604,0.245578,2.14107
-1.36078,18.7878,181.546,0.242247,2.09195
-1.31765,18.9128,182.076,0.233511,1.98535
-1.27451,18.415,176.708,0.226683,1.90267
-1.23137,17.5666,168.066,0.223062,1.86316
-1.18824,16.8064,160.441,0.222315,1.86142
-1.1451,16.3032,155.157,0.224527,1.88822
-1.10196,16.5899,157.615,0.225888,1.90863
-1.05882,17.7018,167.358,0.224642,1.89551
-1.01569,21.2175,200.647,0.232287,1.959
-0.972549,24.4292,213.912,0.24313,1.90131
-0.929412,4.53677,29.0148,0.204963,1.33932
-0.886275,10.0023,86.4438,0.175113,0.973391
-0.843137,21.9307,175.074,0.156501,0.721717
-0.8,27.8137,213.707,0.172815,0.753895
-0.756863,33.5038,246.266,0.195391,0.827418
-0.713725,21.5187,147.701,0.90281,6.14715
-0.670588,23.8892,155.632,0.914113,6.11404
-0.627451,21.7033,137.981,0.943063,6.15444
-0.584314,17.873,109.121,0.964765,6.18161
-0.541176,13.4775,75.7482,0.978186,6.15277
-0.498039,9.92298,44.8203,0.98234,6.06707
-0.454902,10.2251,40.4149,0.960088,5.83576
-0.411765,16.8053,94.2405,0.927362,5.51906
-0.368627,29.4029,180.714,0.852969,4.92949
-0.32549,37.2953,228.197,0.828188,4.55603
-0.282353,46.3822,277.03,0.783334,4.15926
-0.239216,53.7056,325.933,0.731999,3.72978
-0.196078,61.4944,371.696,0.676327,3.27618
-0.152941,73.3952,439.129,0.587945,2.48279
-0.109804,78.719,471.754,0.539809,2.00204
-0.0666667,82.9366,496.352,0.496083,1.51945
-0.0235294,85.8465,512.586,0.460437,1.41466
0.0196078,86.87,518.911,0.424801,1.37027
0.0627451,85.8412,511.396,0.415001,1.34768
0.105882,84.2475,503.324,0.412824,1.34268
0.14902,83.309,500.024,0.410793,1.34804
0.192157,83.0102,498.27,0.410177,1.35646
0.235294,81.7763,495.927,0.410485,1.36895
0.278431,34.0323,184.95,0.39323,1.75548
0.321569,34.6948,187.464,0.390238,1.76465
0.364706,33.0615,179.132,0.387321,1.78105
0.407843,30.6964,167.907,0.38096,1.79755
0.45098,28.2491,155.782,0.373785,1.81097
0.494118,26.1731,143.658,0.370235,1.82182
0.537255,20.6016,106.589,0.367551,1.8333
0.580392,15.9334,70.897,0.357808,1.83025
0.623529,11.4326,63.0878,0.358416,1.88309
0.666667,9.86743,59.8572,0.363796,2.02769
0.709804,5.02462,21.6705,0.34598,1.88234
0.752941,8.26183,35.6714,0.243992,1.22357
0.796078,16.063,99.7704,0.304046,1.25999
0.839216,17.0478,118.923,0.330772,1.64018
0.882353,15.2566,113.638,0.31756,1.54063
0.92549,5.83222,36.9398,0.270632,1.36161
0.968627,24.9221,204.573,0.432056,2.85494
1.01176,28.1695,241.66,0.458391,3.29404
1.0549,28.138,263.158,0.441516,3.50248
1.09804,29.5141,277.31,0.448847,3.59266
1.14118,30.458,287.112,0.454025,3.63764
1.18431,31.1096,293.845,0.457915,3.67328
1.22745,31.1141,294.966,0.465645,3.73531
1.27059,2.10282,11.196,0.0897371,0.193208
1.31373,2.37332,15.2838,0.0872568,0.179598
1.35686,2.3246,14.0344,0.0849957,0.169067
1.4,2.25316,14.2961,0.0825989,0.163088
1.44314,2.33661,14.9674,0.0803095,0.159297
1.48627,2.39112,15.594,0.0781907,0.15662
1.52941,2.36216,16.1916,0.0757877,0.152066
1.57255,2.35323,16.6552,0.0736,0.146217
