theta_rad,theta_deg,n_cells,dCd_pres,dCd_visc_solvent,dCd_polymer,dCd_total
-3.05433,-175,7,10.1414,0.0439663,0.016102,10.2015
-2.87979,-165,9,9.56332,0.0999772,0.0492658,9.71256
-2.70526,-155,9,8.74849,0.202021,0.0807538,9.03127
-2.53073,-145,10,7.69036,0.363116,0.0934756,8.14695
-2.35619,-135,10,6.38263,0.577129,0.105547,7.0653
-2.18166,-125,10,4.94769,0.826267,0.150929,5.92489
-2.00713,-115,9,3.45357,1.07064,0.221538,4.74575
-1.8326,-105,9,1.96705,1.25248,0.362343,3.58188
-1.65806,-95,7,0.668362,1.30039,0.420945,2.3897
-1.48353,-85,8,-0.499954,1.3108,0.648658,1.4595
-1.309,-75,9,-1.35651,1.1163,0.693308,0.4531
-1.13446,-65,9,-1.92518,0.842943,0.760017,-0.322221
-0.959931,-55,10,-2.3124,0.560288,0.721748,-1.03036
-0.785398,-45,10,-2.46918,0.355748,0.530941,-1.58249
-0.610865,-35,10,-2.51284,0.229289,0.352799,-1.93075
-0.436332,-25,9,-2.33033,0.152881,0.216221,-1.96122
-0.261799,-15,9,-1.74626,0.0982145,0.135548,-1.51249
-0.0872665,-5,7,-0.254647,0.0854874,0.0945048,-0.0746546
0.0872665,5,7,-0.252551,0.0851079,0.0942637,-0.073179
0.261799,15,9,-1.74513,0.0981497,0.136382,-1.5106
0.436332,25,9,-2.32971,0.152856,0.216867,-1.95998
0.610865,35,10,-2.51486,0.227585,0.355093,-1.93218
0.785398,45,10,-2.47349,0.355208,0.535241,-1.58304
0.959931,55,10,-2.30822,0.561438,0.716211,-1.03057
1.13446,65,9,-1.92526,0.840373,0.760366,-0.324526
1.309,75,9,-1.35766,1.11484,0.698984,0.456167
1.48353,85,7,-0.571518,1.30701,0.656356,1.39185
1.65806,95,8,0.584729,1.30546,0.448645,2.33883
1.8326,105,9,1.96714,1.25225,0.365728,3.58512
2.00713,115,9,3.45216,1.07221,0.219487,4.74386
2.18166,125,10,4.94619,0.826947,0.150472,5.9236
2.35619,135,10,6.38184,0.576782,0.105418,7.06404
2.53073,145,10,7.69055,0.362652,0.0929872,8.14619
2.70526,155,9,8.74816,0.202149,0.0801776,9.03049
2.87979,165,9,9.56029,0.100989,0.0492156,9.7105
3.05433,175,7,10.1415,0.0440972,0.016139,10.2017
