theta_rad,theta_deg,n_cells,dCd_pres,dCd_visc_solvent,dCd_polymer,dCd_total
-3.05433,-175,9,10.986,0.035002,0.0125542,11.0335
-2.87979,-165,9,10.5714,0.101863,0.0579548,10.7312
-2.70526,-155,9,9.76066,0.230253,0.143096,10.134
-2.53073,-145,9,8.6132,0.411557,0.259695,9.28445
-2.35619,-135,8,6.90762,0.599147,0.379261,7.88603
-2.18166,-125,9,5.36621,0.813191,0.523908,6.70331
-2.00713,-115,13,4.24999,1.17603,0.770614,6.19663
-1.8326,-105,10,2.16384,1.22107,0.806572,4.19148
-1.65806,-95,10,0.671698,1.22269,0.83547,2.72985
-1.48353,-85,10,-0.571396,1.1011,0.770573,1.30027
-1.309,-75,10,-1.49289,0.902222,0.638007,0.0473347
-1.13446,-65,11,-2.15026,0.691042,0.49718,-0.962043
-0.959931,-55,9,-2.73401,0.52418,0.383007,-1.82682
-0.785398,-45,6,-2.37336,0.308773,0.22126,-1.84333
-0.610865,-35,8,-2.67618,0.252013,0.181295,-2.24287
-0.436332,-25,11,-2.55361,0.184322,0.13234,-2.23694
-0.261799,-15,14,-1.65811,0.099253,0.0700667,-1.48879
-0.0872665,-5,24,-0.180645,0.054271,0.0355587,-0.0908151
0.0872665,5,24,-0.180645,0.054271,0.0355587,-0.0908151
0.261799,15,14,-1.65811,0.099253,0.0700667,-1.48879
0.436332,25,11,-2.55361,0.184322,0.13234,-2.23694
0.610865,35,8,-2.67618,0.252013,0.181295,-2.24287
0.785398,45,6,-2.37336,0.308773,0.22126,-1.84333
0.959931,55,9,-2.73401,0.52418,0.383007,-1.82682
1.13446,65,11,-2.15026,0.691042,0.49718,-0.962043
1.309,75,10,-1.49289,0.902222,0.638007,0.0473347
1.48353,85,10,-0.571396,1.1011,0.770573,1.30027
1.65806,95,10,0.671698,1.22269,0.83547,2.72985
1.8326,105,10,2.16384,1.22107,0.806572,4.19148
2.00713,115,13,4.24999,1.17603,0.770614,6.19663
2.18166,125,9,5.36621,0.813191,0.523908,6.70331
2.35619,135,8,6.90762,0.599147,0.379261,7.88603
2.53073,145,9,8.6132,0.411557,0.259695,9.28445
2.70526,155,9,9.76066,0.230253,0.143096,10.134
2.87979,165,9,10.5714,0.101863,0.0579548,10.7312
3.05433,175,9,10.986,0.035002,0.0125542,11.0335
