bin,theta_deg,dCd_pres,dCd_solv,dCd_poly
1,-175.00,1.094397e+01,5.891166e-02,2.030274e-02
2,-165.00,1.014215e+01,1.542984e-01,5.309796e-02
3,-155.00,9.390930e+00,2.840464e-01,9.879203e-02
4,-145.00,8.347406e+00,4.593659e-01,1.194105e-01
5,-135.00,6.984011e+00,6.474609e-01,1.787530e-01
6,-125.00,5.515258e+00,8.360729e-01,2.943085e-01
7,-115.00,3.869771e+00,1.013068e+00,3.779772e-01
8,-105.00,2.225306e+00,1.124624e+00,5.984811e-01
9,-95.00,7.555398e-01,1.150727e+00,6.469389e-01
10,-85.00,-5.678188e-01,1.121618e+00,7.561000e-01
11,-75.00,-1.541396e+00,9.594394e-01,7.844919e-01
12,-65.00,-2.193302e+00,7.373889e-01,8.824540e-01
13,-55.00,-2.691495e+00,4.881298e-01,8.032693e-01
14,-45.00,-2.908495e+00,3.122040e-01,5.490074e-01
15,-35.00,-2.921448e+00,2.044914e-01,3.169733e-01
16,-25.00,-2.606247e+00,1.405436e-01,1.782650e-01
17,-15.00,-1.843953e+00,8.797841e-02,9.986544e-02
18,-5.00,-1.209784e-01,8.013096e-02,1.045588e-01
19,5.00,-1.209784e-01,8.013096e-02,1.045588e-01
20,15.00,-1.843953e+00,8.797841e-02,9.986544e-02
21,25.00,-2.606247e+00,1.405436e-01,1.782650e-01
22,35.00,-2.921448e+00,2.044914e-01,3.169733e-01
23,45.00,-2.908495e+00,3.122040e-01,5.490074e-01
24,55.00,-2.691495e+00,4.881298e-01,8.032693e-01
25,65.00,-2.193302e+00,7.373889e-01,8.824540e-01
26,75.00,-1.541396e+00,9.594394e-01,7.844919e-01
27,85.00,-6.489357e-01,1.115303e+00,7.442856e-01
28,95.00,6.610973e-01,1.152614e+00,6.709216e-01
29,105.00,2.225306e+00,1.124624e+00,5.984811e-01
30,115.00,3.869771e+00,1.013068e+00,3.779772e-01
31,125.00,5.515258e+00,8.360729e-01,2.943085e-01
32,135.00,6.984011e+00,6.474609e-01,1.787530e-01
33,145.00,8.347406e+00,4.593659e-01,1.194105e-01
34,155.00,9.390930e+00,2.840464e-01,9.879203e-02
35,165.00,1.014215e+01,1.542984e-01,5.309796e-02
36,175.00,1.094397e+01,5.891166e-02,2.030274e-02
