y,u_kraken,u_analytic
0.0078125,0.00390625,0.003875732422
0.0234375,0.01147460938,0.0114440918
0.0390625,0.01879882813,0.01876831055
0.0546875,0.02587890625,0.02584838867
0.0703125,0.03271484375,0.03268432617
0.0859375,0.03930664063,0.03927612305
0.1015625,0.04565429688,0.0456237793
0.1171875,0.0517578125,0.05172729492
0.1328125,0.0576171875,0.05758666992
0.1484375,0.06323242188,0.0632019043
0.1640625,0.06860351563,0.06857299805
0.1796875,0.07373046875,0.07369995117
0.1953125,0.07861328125,0.07858276367
0.2109375,0.08325195313,0.08322143555
0.2265625,0.08764648438,0.0876159668
0.2421875,0.091796875,0.09176635742
0.2578125,0.095703125,0.09567260742
0.2734375,0.09936523438,0.0993347168
0.2890625,0.1027832031,0.1027526855
0.3046875,0.1059570313,0.1059265137
0.3203125,0.1088867188,0.1088562012
0.3359375,0.1115722656,0.111541748
0.3515625,0.1140136719,0.1139831543
0.3671875,0.1162109375,0.1161804199
0.3828125,0.1181640625,0.1181335449
0.3984375,0.1198730469,0.1198425293
0.4140625,0.1213378906,0.121307373
0.4296875,0.1225585938,0.1225280762
0.4453125,0.1235351563,0.1235046387
0.4609375,0.1242675781,0.1242370605
0.4765625,0.1247558594,0.1247253418
0.4921875,0.125,0.1249694824
0.5078125,0.125,0.1249694824
0.5234375,0.1247558594,0.1247253418
0.5390625,0.1242675781,0.1242370605
0.5546875,0.1235351563,0.1235046387
0.5703125,0.1225585938,0.1225280762
0.5859375,0.1213378906,0.121307373
0.6015625,0.1198730469,0.1198425293
0.6171875,0.1181640625,0.1181335449
0.6328125,0.1162109375,0.1161804199
0.6484375,0.1140136719,0.1139831543
0.6640625,0.1115722656,0.111541748
0.6796875,0.1088867188,0.1088562012
0.6953125,0.1059570313,0.1059265137
0.7109375,0.1027832031,0.1027526855
0.7265625,0.09936523438,0.0993347168
0.7421875,0.095703125,0.09567260742
0.7578125,0.091796875,0.09176635742
0.7734375,0.08764648438,0.0876159668
0.7890625,0.08325195313,0.08322143555
0.8046875,0.07861328125,0.07858276367
0.8203125,0.07373046875,0.07369995117
0.8359375,0.06860351563,0.06857299805
0.8515625,0.06323242188,0.0632019043
0.8671875,0.0576171875,0.05758666992
0.8828125,0.0517578125,0.05172729492
0.8984375,0.04565429688,0.0456237793
0.9140625,0.03930664063,0.03927612305
0.9296875,0.03271484375,0.03268432617
0.9453125,0.02587890625,0.02584838867
0.9609375,0.01879882813,0.01876831055
0.9765625,0.01147460938,0.0114440918
0.9921875,0.00390625,0.003875732422
