r,u_analytic,u_kraken
0.5,0.024800000000000003,0.025539266987572487
1.5,0.02475,0.02550462132166698
2.5,0.024650000000000002,0.025415799634976168
3.5,0.0245,0.025272869417696592
4.5,0.024300000000000002,0.02507802861029638
5.5,0.024050000000000002,0.024832110814114846
6.5,0.02375,0.024535494867367853
7.5,0.0234,0.02418838754174682
8.5,0.023,0.023790914982494322
9.5,0.02255,0.023343160064897943
10.5,0.02205,0.02284518024103131
11.5,0.021500000000000002,0.02229701700695883
12.5,0.020900000000000002,0.021698701323663295
13.5,0.02025,0.021050256909589705
14.5,0.01955,0.020351702337026444
15.5,0.0188,0.019603052419566197
16.5,0.018000000000000002,0.018804319160638204
17.5,0.017150000000000002,0.017955512420109714
18.5,0.01625,0.017056640394034317
19.5,0.015300000000000001,0.016107709967163136
20.5,0.0143,0.015108726976739113
21.5,0.013250000000000001,0.014059696413131375
22.5,0.012150000000000001,0.012960622574659441
23.5,0.011000000000000001,0.011811509188639019
24.5,0.0098,0.010612359507143
25.5,0.00855,0.009363176383579313
26.5,0.00725,0.00806396233453277
27.5,0.0059,0.006714719590159773
28.5,0.0045000000000000005,0.005315450135685113
29.5,0.00305,0.0038661557090117382
30.5,0.0015500000000000002,0.0023668535503134193
31.5,0.0,0.0008106135969051723
