step,E_analytic,E_kraken
0,0.0004,0.0004
500,0.00032987006554422755,0.00032888369766245626
1000,0.00027203565035538246,0.0002712685965346239
1500,0.00022434104453274145,0.00022374009092261066
2000,0.00018500848766068973,0.0001845345887941466
2500,0.00015257190487717533,0.0001521957030497323
3000,0.0001258222606551037,0.00012552193272877626
3500,0.00010376249342305486,0.00010352160736962985
4000,8.557035126623895e-5,8.537629979009037e-5
4500,7.056774345209205e-5,7.041082649565441e-5
5000,5.819546539462459e-5,5.8068178144728455e-5
