x,y,C
1,1,3.261497213767712e-19
2,1,6.81304529213109e-19
3,1,1.3487505086738552e-18
4,1,2.6880846411338552e-18
5,1,4.629684783480189e-18
6,1,8.098950975049775e-18
7,1,1.7935437472994706e-17
8,1,5.517386112749468e-17
9,1,2.1137696224322634e-16
10,1,9.432982489573027e-16
11,1,5.446862210031125e-15
12,1,3.552294318718463e-14
13,1,2.0640628557916525e-13
14,1,9.781896354569411e-13
15,1,3.897263651802374e-12
16,1,1.523024225313941e-11
17,1,5.433444421796365e-11
18,1,1.6610878878911413e-10
19,1,3.6322218198120345e-10
20,1,5.358770727329479e-10
21,1,6.473327905033323e-10
22,1,7.339267961421733e-10
23,1,8.92712063286013e-10
24,1,1.2419644802614855e-9
25,1,2.1312051029288052e-9
26,1,4.652073537203559e-9
27,1,1.0255344615579176e-8
28,1,1.720111393580235e-8
29,1,2.421849246444669e-8
30,1,2.9165318126855478e-8
31,1,3.2236794223940695e-8
32,1,3.4025409581525953e-8
33,1,3.493466591342388e-8
34,1,3.4975339961208316e-8
35,1,3.375746173984332e-8
36,1,3.156860342453155e-8
37,1,2.78884460607136e-8
38,1,2.4906355260502957e-8
39,1,2.3922257708280725e-8
40,1,2.49643729851296e-8
41,1,2.7429710160518952e-8
42,1,3.170984777201393e-8
43,1,3.7935933869439376e-8
44,1,4.732988518402679e-8
45,1,6.357461745352693e-8
46,1,8.75736568868729e-8
47,1,1.1531013798460805e-7
48,1,1.462376535709873e-7
49,1,1.7665191254662973e-7
50,1,1.9753708056067808e-7
51,1,2.0337387427385094e-7
52,1,1.9920493473606924e-7
53,1,1.8146735888296355e-7
54,1,1.5223075143457685e-7
55,1,1.1208762868444658e-7
56,1,7.682625823780516e-8
57,1,4.9885423343197354e-8
58,1,3.104947688621202e-8
59,1,1.9570832463871727e-8
60,1,1.3732526806241557e-8
61,1,1.130338999123449e-8
62,1,1.0381468679016927e-8
63,1,9.99655090736651e-9
64,1,1.0158902203655259e-8
65,1,1.07702783236777e-8
66,1,1.1627432189944578e-8
67,1,1.254710335074607e-8
68,1,1.3369721357862778e-8
69,1,1.4162911582495059e-8
70,1,1.4759776393514612e-8
71,1,1.508753086645087e-8
72,1,1.5053419353175265e-8
73,1,1.4719403818038166e-8
74,1,1.3903578252266973e-8
75,1,1.253265302537527e-8
76,1,1.0688247143367321e-8
77,1,8.625790286673454e-9
78,1,6.387123630102437e-9
79,1,4.041928296177746e-9
80,1,1.8960754802428644e-9
81,1,5.631984629967114e-10
82,1,1.4048082228393278e-10
83,1,2.987150647659655e-11
84,1,6.04633305691456e-12
85,1,1.3129764190966098e-12
86,1,3.351535487952846e-13
87,1,9.78467435381963e-14
88,1,2.865100028657553e-14
89,1,7.405245495511e-15
90,1,1.577647411258646e-15
91,1,2.8620097092017767e-16
92,1,5.702733044746335e-17
93,1,1.895747880355434e-17
94,1,9.271572281707203e-18
95,1,4.480062778844244e-18
96,1,2.3905583402877943e-18
97,1,1.3793680727969804e-18
98,1,7.090740222231465e-19
99,1,3.2855741040372656e-19
100,1,1.3341699034271367e-19
1,2,6.925626639071678e-19
2,2,1.3626699583136382e-18
3,2,2.8102980053603274e-18
4,2,4.985077232229469e-18
5,2,8.848527528692048e-18
6,2,2.0278915589994043e-17
7,2,6.791774430615405e-17
8,2,2.8355386459821257e-16
9,2,1.3076309229098556e-15
10,2,7.628733430738084e-15
11,2,5.1290923092687994e-14
12,2,3.106843190779489e-13
13,2,1.5342493932094648e-12
14,2,6.368763111449777e-12
15,2,2.636367732868959e-11
16,2,9.781114769092219e-11
17,2,2.9647678270203326e-10
18,2,5.675737723467225e-10
19,2,7.711022767047948e-10
