x,y,C
1,1,5.211127944492394e-8
2,1,2.447818573615125e-8
3,1,8.293589814323428e-9
4,1,5.701459115251507e-10
5,1,6.477545926965303e-11
6,1,3.394172226651901e-11
7,1,3.229515498426057e-11
8,1,3.2284999387865875e-11
9,1,3.231754174570173e-11
10,1,3.2424471146442096e-11
11,1,3.265492556005414e-11
12,1,3.2944621897942046e-11
13,1,3.342900661845664e-11
14,1,3.430767390149556e-11
15,1,3.574936268265694e-11
16,1,3.77727800713419e-11
17,1,4.016892889956962e-11
18,1,4.276388776820352e-11
19,1,4.547908790395448e-11
20,1,4.850042692190043e-11
21,1,5.2281696049424316e-11
22,1,5.697633018463891e-11
23,1,6.211549220108759e-11
24,1,6.73000696544052e-11
25,1,7.233211150711142e-11
26,1,7.716169619176355e-11
27,1,8.181897118700062e-11
28,1,8.647005101595577e-11
29,1,9.128018302833779e-11
30,1,9.622898013305069e-11
31,1,1.0120766881188897e-10
32,1,1.0587239701823216e-10
33,1,1.1071382423365912e-10
34,1,1.155649205106293e-10
35,1,1.2054746877971205e-10
36,1,1.2564643032926275e-10
37,1,1.307861022190194e-10
38,1,1.359530480553908e-10
39,1,1.4113372969971258e-10
40,1,1.4630827924264537e-10
41,1,1.5141465996341747e-10
42,1,1.563320765542755e-10
43,1,1.6093488260784304e-10
44,1,1.651388715343784e-10
45,1,1.6886831976724773e-10
46,1,1.7204504204942775e-10
47,1,1.746268800538747e-10
48,1,1.7663049344069216e-10
49,1,1.782905837262597e-10
50,1,1.8026749433479895e-10
51,1,1.8254869813499398e-10
52,1,1.850658906298497e-10
53,1,1.8777629016344245e-10
54,1,1.906546208051135e-10
55,1,1.936862080722493e-10
56,1,1.9686366267821936e-10
57,1,2.0018590520887452e-10
58,1,2.0365643136984081e-10
59,1,2.0727752845499207e-10
60,1,2.1104213704514365e-10
61,1,2.1492442236220543e-10
62,1,2.1887482634301298e-10
63,1,2.2284711616693092e-10
64,1,2.2681972988610985e-10
65,1,2.3078633545680555e-10
66,1,2.3476307733886396e-10
67,1,2.3876241187542136e-10
68,1,2.4276669882059204e-10
69,1,2.4665828521431517e-10
70,1,2.5045348707435976e-10
71,1,2.5492738481800274e-10
72,1,2.60858039318952e-10
73,1,2.6884317410932697e-10
74,1,2.7936366106374705e-10
75,1,2.935602644818844e-10
76,1,3.1386930983632143e-10
77,1,3.4348499204354566e-10
78,1,3.8520366833242176e-10
79,1,4.411389323923607e-10
80,1,5.132475711500757e-10
